id,mapName,unitId,x,z,power
1,map001,1,0,3,0
2,map001,1,1,5,0
3,map001,1,-1,4,0
4,map001,1,2,6,0
5,map001,1,6,10,1
6,map001,1,5,9,1
7,map001,1,4,11,1
8,map001,1,7,10,1
9,map001,1,-10,36,1
10,map001,1,-10,35,1
11,map001,1,-10,34,1
12,map001,1,-10,33,1
13,map001,1,-10,32,1
14,map001,2,-12,34,1
15,map001,2,-12,35,1
16,map001,2,-12,36,1
17,map001,2,-12,37,1
18,map001,1,10,23,0
19,map001,1,10,24,0
20,map001,1,10,25,0
21,map001,1,10,26,0
22,map001,1,10,27,0
23,map001,2,12,24,0
24,map001,2,12,25,0
25,map001,2,12,26,0
26,map001,2,12,27,0
